State,Race,Year,Cause of death,"Cause of death, Simplified","Cause of death, Type",Cause of death Code,"Cause of Death Simplified, with ICD10 Code",Firearm Deaths,Total Deaths,Population,Firearm Death Rate (per 100k),Total Death Rate (per 100k),Firearm Percent of Total Deaths
Louisiana,Black or African American,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),44,12763,1468317,2.997,869,0.00345
Louisiana,White,2000,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),12,28156,2912011,0.412,967,0.00043
Louisiana,White,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),69,28156,2912011,2.369,967,0.00245
Louisiana,White,2000,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",29,28156,2912011,0.996,967,0.00103
Louisiana,White,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),245,28156,2912011,8.413,967,0.00870
Louisiana,Black or African American,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),304,12997,1475975,20.597,881,0.02339
Louisiana,Black or African American,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),50,12997,1475975,3.388,881,0.00385
Louisiana,White,2001,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),14,28531,2910410,0.481,980,0.00049
Louisiana,White,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),79,28531,2910410,2.714,980,0.00277
Louisiana,White,2001,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",24,28531,2910410,0.825,980,0.00084
Louisiana,White,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),263,28531,2910410,9.037,980,0.00922
Louisiana,Black or African American,2002,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),19,12935,1485575,1.279,871,0.00147
Louisiana,Black or African American,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),364,12935,1485575,24.502,871,0.02814
Louisiana,Black or African American,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),36,12935,1485575,2.423,871,0.00278
Louisiana,White,2002,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),25,28808,2916968,0.857,988,0.00087
Louisiana,White,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),80,28808,2916968,2.743,988,0.00278
Louisiana,White,2002,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),10,28808,2916968,0.343,988,0.00035
Louisiana,White,2002,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",23,28808,2916968,0.788,988,0.00080
Louisiana,White,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),275,28808,2916968,9.428,988,0.00955
Louisiana,Black or African American,2003,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),14,13197,1496609,0.935,882,0.00106
Louisiana,Black or African American,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),380,13197,1496609,25.391,882,0.02879
Louisiana,Black or African American,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),31,13197,1496609,2.071,882,0.00235
Louisiana,White,2003,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),33,29251,2926521,1.128,1000,0.00113
Louisiana,White,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),69,29251,2926521,2.358,1000,0.00236
Louisiana,White,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),12,29251,2926521,0.410,1000,0.00041
Louisiana,White,2003,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",29,29251,2926521,0.991,1000,0.00099
Louisiana,White,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),237,29251,2926521,8.098,1000,0.00810
Louisiana,Black or African American,2004,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),14,13167,1509822,0.927,872,0.00106
Louisiana,Black or African American,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),396,13167,1509822,26.228,872,0.03008
Louisiana,Black or African American,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),55,13167,1509822,3.643,872,0.00418
Louisiana,White,2004,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),23,28800,2940900,0.782,979,0.00080
Louisiana,White,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),60,28800,2940900,2.040,979,0.00208
Louisiana,White,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),11,28800,2940900,0.374,979,0.00038
Louisiana,White,2004,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",34,28800,2940900,1.156,979,0.00118
Louisiana,White,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),265,28800,2940900,9.011,979,0.00920
Louisiana,Black or African American,2005,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),10,13831,1521031,0.657,909,0.00072
Louisiana,Black or African American,2005,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,13831,1521031,0.855,909,0.00094
Louisiana,Black or African American,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),356,13831,1521031,23.405,909,0.02574
Louisiana,Black or African American,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),39,13831,1521031,2.564,909,0.00282
Louisiana,White,2005,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),24,30271,2951023,0.813,1026,0.00079
Louisiana,White,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),68,30271,2951023,2.304,1026,0.00225
Louisiana,White,2005,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",26,30271,2951023,0.881,1026,0.00086
Louisiana,White,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),267,30271,2951023,9.048,1026,0.00882
Louisiana,Black or African American,2006,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),12,12023,1369467,0.876,878,0.00100
Louisiana,Black or African American,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),340,12023,1369467,24.827,878,0.02828
Louisiana,Black or African American,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),43,12023,1369467,3.140,878,0.00358
Louisiana,White,2006,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),29,27781,2834087,1.023,980,0.00104
Louisiana,White,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),82,27781,2834087,2.893,980,0.00295
Louisiana,White,2006,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",23,27781,2834087,0.812,980,0.00083
Louisiana,White,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),253,27781,2834087,8.927,980,0.00911
Louisiana,Black or African American,2007,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),13,11789,1411396,0.921,835,0.00110
Louisiana,Black or African American,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),361,11789,1411396,25.578,835,0.03062
Louisiana,Black or African American,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),43,11789,1411396,3.047,835,0.00365
Louisiana,White,2007,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),20,27926,2861100,0.699,976,0.00072
Louisiana,White,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),95,27926,2861100,3.320,976,0.00340
Louisiana,White,2007,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",27,27926,2861100,0.944,976,0.00097
Louisiana,White,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),254,27926,2861100,8.878,976,0.00910
Louisiana,Black or African American,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),330,12050,1444476,22.846,834,0.02739
Louisiana,Black or African American,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),43,12050,1444476,2.977,834,0.00357
Louisiana,White,2008,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),20,28886,2883647,0.694,1002,0.00069
Louisiana,White,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),81,28886,2883647,2.809,1002,0.00280
Louisiana,White,2008,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",22,28886,2883647,0.763,1002,0.00076
Louisiana,White,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),273,28886,2883647,9.467,1002,0.00945
Louisiana,Black or African American,2009,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),11,11984,1468988,0.749,816,0.00092
Louisiana,Black or African American,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),346,11984,1468988,23.554,816,0.02887
Louisiana,Black or African American,2009,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),37,11984,1468988,2.519,816,0.00309
Louisiana,White,2009,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),10,28016,2910509,0.344,963,0.00036
Louisiana,White,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),82,28016,2910509,2.817,963,0.00293
Louisiana,White,2009,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",16,28016,2910509,0.550,963,0.00057
Louisiana,White,2009,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),268,28016,2910509,9.208,963,0.00957
Louisiana,Black or African American,2010,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),11,11950,1485375,0.741,805,0.00092
Louisiana,Black or African American,2010,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),334,11950,1485375,22.486,805,0.02795
Louisiana,Black or African American,2010,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),40,11950,1485375,2.693,805,0.00335
Louisiana,White,2010,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),31,28411,2932468,1.057,969,0.00109
Louisiana,White,2010,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),81,28411,2932468,2.762,969,0.00285
Louisiana,White,2010,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",23,28411,2932468,0.784,969,0.00081
Louisiana,White,2010,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),312,28411,2932468,10.640,969,0.01098
Louisiana,Black or African American,2011,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),12,11803,1506336,0.797,784,0.00102
Louisiana,Black or African American,2011,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),342,11803,1506336,22.704,784,0.02898
Louisiana,Black or African American,2011,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),54,11803,1506336,3.585,784,0.00458
Louisiana,White,2011,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),36,28779,2949133,1.221,976,0.00125
Louisiana,White,2011,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),78,28779,2949133,2.645,976,0.00271
Louisiana,White,2011,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",19,28779,2949133,0.644,976,0.00066
Louisiana,White,2011,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),287,28779,2949133,9.732,976,0.00997
Louisiana,Black or African American,2012,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),14,12344,1516716,0.923,814,0.00113
Louisiana,Black or African American,2012,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),348,12344,1516716,22.944,814,0.02819
Louisiana,Black or African American,2012,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),42,12344,1516716,2.769,814,0.00340
Louisiana,White,2012,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),17,29663,2962171,0.574,1001,0.00057
Louisiana,White,2012,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),67,29663,2962171,2.262,1001,0.00226
Louisiana,White,2012,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),14,29663,2962171,0.473,1001,0.00047
Louisiana,White,2012,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",22,29663,2962171,0.743,1001,0.00074
Louisiana,White,2012,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),293,29663,2962171,9.891,1001,0.00988
Louisiana,Black or African American,2013,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),350,12832,1526736,22.925,840,0.02728
Louisiana,Black or African American,2013,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),46,12832,1526736,3.013,840,0.00358
Louisiana,White,2013,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),78,30071,2971695,2.625,1012,0.00259
Louisiana,White,2013,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),18,30071,2971695,0.606,1012,0.00060
Louisiana,White,2013,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",24,30071,2971695,0.808,1012,0.00080
Louisiana,White,2013,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),313,30071,2971695,10.533,1012,0.01041
Louisiana,Black or African American,2014,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),321,13045,1538168,20.869,848,0.02461
Louisiana,Black or African American,2014,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),49,13045,1538168,3.186,848,0.00376
Louisiana,White,2014,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),78,30474,2980699,2.617,1022,0.00256
Louisiana,White,2014,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),22,30474,2980699,0.738,1022,0.00072
Louisiana,White,2014,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",28,30474,2980699,0.939,1022,0.00092
Louisiana,White,2014,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),342,30474,2980699,11.474,1022,0.01122
Louisiana,Black or African American,2015,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),354,13298,1546176,22.895,860,0.02662
Louisiana,Black or African American,2015,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),35,13298,1546176,2.264,860,0.00263
Louisiana,White,2015,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),84,30027,2990198,2.809,1004,0.00280
Louisiana,White,2015,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),14,30027,2990198,0.468,1004,0.00047
Louisiana,White,2015,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",30,30027,2990198,1.003,1004,0.00100
Louisiana,White,2015,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),377,30027,2990198,12.608,1004,0.01256
Louisiana,Black or African American,2016,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),11,13386,1554167,0.708,861,0.00082
Louisiana,Black or African American,2016,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),411,13386,1554167,26.445,861,0.03070
Louisiana,Black or African American,2016,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),47,13386,1554167,3.024,861,0.00351
Louisiana,White,2016,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),87,30559,2993420,2.906,1021,0.00285
Louisiana,White,2016,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),23,30559,2993420,0.768,1021,0.00075
Louisiana,White,2016,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",30,30559,2993420,1.002,1021,0.00098
Louisiana,White,2016,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),335,30559,2993420,11.191,1021,0.01096
Louisiana,Black or African American,2017,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),426,13679,1558498,27.334,878,0.03114
Louisiana,Black or African American,2017,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),67,13679,1558498,4.299,878,0.00490
Louisiana,White,2017,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),84,31725,2988801,2.810,1061,0.00265
Louisiana,White,2017,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),11,31725,2988801,0.368,1061,0.00035
Louisiana,White,2017,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",29,31725,2988801,0.970,1061,0.00091
Louisiana,White,2017,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),330,31725,2988801,11.041,1061,0.01040
Louisiana,Black or African American,2018,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),397,13922,1557173,25.495,894,0.02852
Louisiana,Black or African American,2018,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),63,13922,1557173,4.046,894,0.00453
Louisiana,White,2018,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),76,31651,2968719,2.560,1066,0.00240
Louisiana,White,2018,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),26,31651,2968719,0.876,1066,0.00082
Louisiana,White,2018,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",14,31651,2968719,0.472,1066,0.00044
Louisiana,White,2018,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),355,31651,2968719,11.958,1066,0.01122
Maine,White,1999,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),43,12158,1241976,3.462,979,0.00354
Maine,White,1999,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),44,12158,1241976,3.543,979,0.00362
Maine,White,2000,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),49,12256,1247712,3.927,982,0.00400
Maine,White,2000,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",30,12256,1247712,2.404,982,0.00245
Maine,White,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),18,12256,1247712,1.443,982,0.00147
Maine,White,2001,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),36,12309,1256397,2.865,980,0.00292
Maine,White,2001,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",28,12309,1256397,2.229,980,0.00227
Maine,White,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),19,12309,1256397,1.512,980,0.00154
Maine,White,2002,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),40,12593,1264617,3.163,996,0.00318
Maine,White,2002,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",31,12593,1264617,2.451,996,0.00246
Maine,White,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),36,12420,1272827,2.828,976,0.00290
Maine,White,2003,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",30,12420,1272827,2.357,976,0.00242
Maine,White,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),44,12320,1278082,3.443,964,0.00357
Maine,White,2004,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",34,12320,1278082,2.660,964,0.00276
Maine,White,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),17,12320,1278082,1.330,964,0.00138
Maine,White,2005,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),37,12767,1281091,2.888,997,0.00290
